Wavelength,T_deoxy,T_oxy
926,772.36,1226.8
928,768.08,1224.4
930,763.84,1222
932,752.28,1219.6
934,737.56,1217.2
936,722.88,1215.6
938,708.16,1214.8
940,693.44,1214
942,678.72,1213.2
944,660.52,1212.4
946,641.08,1210.4
948,621.64,1207.2
950,602.24,1204
952,583.4,1200.8
954,568.92,1197.6
956,554.48,1194
958,540.04,1190
960,525.56,1186
962,511.12,1182
964,495.36,1178
966,473.32,1173.2
968,451.32,1167.6
970,429.32,1162
972,415.28,1156.4
974,402.28,1150.8
976,389.288,1144
978,374.944,1136
980,359.656,1128
982,344.372,1120
984,329.084,1112
986,313.796,1102.4
988,298.508,1091.2
990,283.22,1080
992,267.932,1068.8
994,252.648,1057.6
996,237.36,1046.4
998,222.072,1035.2
1000,206.784,1024
