x,y,z
0.63396,0.36602,1.00E-05
0.63758,0.36241,1.00E-05
0.64111,0.35888,1.00E-05
0.64454,0.35545,1.00E-05
0.64785,0.35214,1.00E-05
0.65103,0.34896,1.00E-05
0.65407,0.34593,1.00E-05
0.65697,0.34302,1.00E-05
0.65975,0.34024,1.00E-05
0.66242,0.33758,1.00E-05
0.66498,0.33502,1.00E-05
0.66744,0.33256,1.00E-05
0.6698,0.33019,1.00E-05
0.67208,0.32791,1.00E-05
0.67427,0.32572,0
0.67638,0.32361,0
0.67841,0.32159,0
0.68038,0.31962,0
0.68228,0.31772,0
0.68414,0.31586,0
0.68596,0.31404,0
0.68773,0.31227,0
0.68945,0.31055,0
0.69109,0.30891,0
0.69262,0.30738,0
0.69405,0.30595,0
0.69535,0.30465,0
0.69656,0.30344,0
0.69768,0.30232,0
0.69875,0.30125,0
0.69977,0.30023,0
0.70077,0.29923,0
0.70174,0.29826,0
0.70268,0.29732,0
0.70359,0.29641,0
0.70447,0.29553,0
0.70533,0.29467,0
0.70618,0.29382,0
0.70702,0.29298,0
0.70786,0.29214,0
0.70871,0.29129,0
0.70957,0.29043,0
0.71042,0.28958,0
0.71122,0.28878,0
0.71195,0.28805,0
0.71259,0.28741,0
0.71312,0.28688,0
0.71356,0.28644,0
0.71395,0.28605,0
0.71431,0.28569,0
0.71465,0.28535,0
0.71501,0.28499,0
0.71537,0.28463,0
0.71574,0.28426,0
0.71611,0.28389,0
0.71648,0.28352,0
0.71685,0.28315,0
0.71721,0.28279,0
0.71756,0.28244,0
0.71791,0.28209,0
0.71824,0.28176,0
0.71857,0.28143,0
0.71887,0.28113,0
0.71916,0.28084,0
0.71943,0.28057,0
0.71967,0.28033,0
0.71988,0.28012,0
0.72007,0.27993,0
0.72024,0.27976,0
0.72039,0.27961,0
0.72054,0.27946,0
0.72067,0.27933,0
0.7208,0.2792,0
0.72093,0.27907,0
0.72104,0.27896,0
0.72115,0.27885,0
0.72125,0.27875,0
0.72134,0.27866,0
0.72143,0.27857,0
0.72151,0.27849,0
0.72158,0.27842,0
0.72165,0.27835,0
0.72171,0.27829,0
0.72177,0.27823,0
0.72183,0.27817,0
0.72187,0.27813,0
0.72192,0.27808,0
0.72195,0.27805,0
0.72199,0.27801,0
0.72202,0.27798,0
0.72205,0.27795,0
0.72208,0.27792,0
0.72211,0.27789,0
0.72213,0.27787,0
0.72215,0.27785,0
0.72217,0.27783,0
0.72218,0.27782,0
0.72218,0.27782,0
0.72219,0.27781,0
0.72219,0.27781,0
0.72219,0.27781,0
0.72219,0.27781,0
0.72219,0.27781,0
0.72219,0.27781,0
0.72219,0.27781,0
0.72219,0.27781,0
0.72218,0.27782,0
0.72217,0.27783,0
0.72216,0.27784,0
0.72215,0.27785,0
0.72213,0.27787,0
0.7221,0.2779,0
0.72207,0.27793,0
0.72204,0.27796,0
0.72201,0.27799,0
0.72198,0.27802,0
0.72195,0.27805,0
0.72192,0.27808,0
0.72189,0.27811,0
0.72185,0.27815,0
0.72182,0.27818,0
0.72179,0.27821,0
0.72175,0.27825,0
0.72171,0.27829,0
0.72167,0.27833,0
0.72163,0.27837,0
0.72159,0.27841,0
0.72155,0.27845,0
0.72151,0.27849,0
0.72147,0.27853,0
0.72142,0.27858,0
0.72138,0.27862,0
0.72134,0.27866,0
0.7213,0.2787,0
0.72125,0.27875,0
0.7212,0.2788,0
0.72115,0.27885,0
0.72109,0.27891,0
0.72104,0.27896,0
0.72097,0.27903,0
0.72091,0.27909,0
0.72084,0.27916,0
0.72078,0.27922,0
0.72071,0.27929,0
0.72064,0.27936,0
0.72057,0.27943,0
0.7205,0.2795,0
0.72043,0.27957,0
0.72036,0.27964,0
0.72029,0.27971,0
0.72022,0.27978,0
0.72015,0.27985,0
0.72009,0.27991,0
0.72002,0.27998,0
0.71995,0.28005,0
0.71988,0.28012,0
0.7198,0.2802,0
0.71973,0.28027,0
0.71965,0.28035,0
0.71958,0.28042,0
0.7195,0.2805,0
0.71943,0.28057,0
0.71935,0.28065,0
0.71928,0.28072,0
0.71921,0.28079,0
0.71915,0.28085,0
0.71908,0.28092,0
0.71901,0.28099,0
0.71894,0.28106,0
0.71888,0.28112,0
0.71881,0.28119,0
0.71874,0.28126,0
0.71867,0.28133,0
0.7186,0.2814,0
0.71852,0.28148,0
0.71845,0.28155,0
0.71838,0.28162,0
0.7183,0.2817,0
0.71822,0.28178,0
0.71814,0.28186,0
0.71807,0.28193,0
0.71799,0.28201,0
0.71791,0.28209,0
0.71783,0.28217,0
0.71775,0.28225,0
0.71766,0.28234,0
0.71758,0.28242,0
0.7175,0.2825,0
0.71742,0.28258,0
0.71733,0.28267,0
0.71725,0.28275,0
0.71716,0.28284,0
0.71708,0.28292,0
0.71699,0.28301,0
0.7169,0.2831,0
0.71681,0.28319,0
0.71671,0.28329,0
0.71661,0.28339,0
0.71651,0.28349,0
0.71641,0.28359,0
0.7163,0.2837,0
0.71619,0.28381,0
0.71609,0.28391,0
0.71598,0.28402,0
0.71588,0.28412,0
0.71577,0.28423,0
0.71566,0.28434,0
0.71556,0.28444,0
0.71545,0.28455,0
0.71534,0.28466,0
0.71523,0.28477,0
0.71513,0.28487,0
0.71502,0.28498,0
0.71491,0.28509,0
0.7148,0.2852,0
0.71469,0.28531,0
0.71459,0.28541,0
0.71449,0.28551,0
0.71438,0.28562,0
0.71428,0.28572,0
0.71418,0.28582,0
0.71409,0.28591,0
0.714,0.286,0
0.71391,0.28609,0
0.71382,0.28618,0
0.71373,0.28627,0
0.71365,0.28635,0
0.71358,0.28642,0
0.7135,0.2865,0
0.71343,0.28657,0
0.71336,0.28664,0
0.17842,0.02464,0.79694
