Wavelength,Counts
338.5374925,1523.9556297451697
338.9177132,1523.9556297451697
339.297902,1523.9556297451695
339.6780589,1527.7656064633156
340.0581838,1556.7560177302685
340.4382767,1561.2272415261468
340.8183376,1574.965552789913
341.1983666,1584.0729137156497
341.5783635,1596.9880624846357
341.9583283,1598.4738905283498
342.3382611,1622.7832450208311
342.7181619,1619.6395559687446
343.0980305,1615.9962171496436
343.4778671,1621.1237376465074
343.8576715,1618.315645705517
344.2374438,1598.4714519221566
344.617184,1616.3335838117137
344.996892,1612.690868084957
345.3765678,1599.1181044054279
345.7562114,1588.8520581813123
346.1358229,1590.8423021393128
346.5154021,1580.9184366081379
346.8949491,1581.7472957596533
347.2744638,1587.0472421891088
347.6539463,1593.5092273192695
348.0333965,1598.306831079039
348.4128144,1589.7094891231309
348.7921999,1599.3108500550838
349.1715532,1590.7019369099066
349.5508741,1601.9494232289921
349.9301627,1588.8716768224465
350.3094189,1576.6153612302123
350.6886427,1564.0325993154909
351.0678341,1577.1106100377972
351.4469931,1566.19430135107
351.8261196,1566.3631445779124
352.2052138,1585.2357948672025
352.5842754,1590.2031885747874
352.9633046,1587.2232023035094
353.3423013,1594.66935605681
353.7212655,1601.7865414334142
354.1001971,1590.8661441666466
354.4790963,1601.7891889003195
354.8579629,1629.3954798767702
355.2367969,1619.9610455499928
355.6155983,1624.7596241763154
355.9943671,1625.9166968777208
356.3731034,1621.4509835256422
356.751807,1586.064372086178
357.1304779,1592.0241042723987
357.5091162,1579.4443226723608
357.8877219,1568.6795211523645
358.2662948,1563.2176924527348
358.6448351,1571.3301308360901
359.0233426,1560.568210464357
359.4018174,1568.1828982684897
359.7802594,1573.1527181089627
360.1586687,1577.1239959103546
360.5370453,1569.175017490507
360.915389,1604.0703622856627
361.2936999,1598.1128356547865
361.671978,1606.22506289797
362.0502233,1601.260321771324
362.4284357,1606.0616199641754
362.8066152,1574.976200909111
363.1847619,1583.746310361651
363.5628756,1583.0857335964279
363.9409565,1588.3790748371825
364.3190044,1590.6947014818033
364.6970194,1600.7895480266552
365.0750014,1596.6536274218042
365.4529505,1616.1707488049842
365.8308666,1614.84569828939
366.2087496,1611.5392224111602
366.5865997,1611.7056974103084
366.9644167,1602.1027152010936
367.3422007,1582.254951139071
367.7199516,1577.4582604985803
368.0976694,1583.5819910619746
368.4753541,1575.9695914649296
368.8530058,1577.294128832575
369.2306243,1588.04966677532
369.6082097,1591.1941408168664
369.9857619,1585.5669548471353
370.3632809,1584.403977597213
370.7407668,1587.8829012747158
371.1182195,1574.8087713240498
371.495639,1592.6726387465355
371.8730252,1592.010341315619
372.2503782,1585.0528500319965
372.6276979,1578.7557210950956
373.0049844,1590.0095805463457
373.3822376,1577.7741140948378
373.7594574,1584.8920206793082
374.136644,1591.521215934289
374.5137972,1594.0078865734795
374.8909171,1587.8855693031614
375.2680036,1583.2494521593912
375.6450567,1585.8951979705275
376.0220765,1589.373274816211
376.3990628,1595.9963496246949
376.7760157,1587.388811274459
377.1529352,1586.3913648920516
377.5298212,1570.6673494668075
377.9066737,1562.7189615718698
378.2834928,1563.5471147147834
378.6602784,1565.6995607113422
379.0370304,1561.7318085561506
379.413749,1569.0131504181481
379.7904339,1584.4037116198645
380.1670854,1588.3763336211337
380.5437032,1594.004459001706
380.9202875,1621.1289423077606
381.2968381,1617.3245847732992
381.6733552,1598.455846751176
382.0498386,1591.0079056206107
382.4262883,1594.9808258508954
382.8027044,1580.930552822282
383.1790869,1596.4815771089407
383.5554356,1607.2351488861436
383.9317506,1611.8685664086784
384.3080319,1605.5791778344333
384.6842794,1587.7024857492731
385.0604932,1587.2114055758152
385.4366732,1587.0566637961
385.8128195,1591.1953695618715
386.1889319,1601.4539281903617
386.5650106,1609.4022845144782
386.9410554,1588.3757505544586
387.3170663,1590.0293520270548
387.6930434,1593.999470373952
388.0689866,1591.6844297845091
388.444896,1599.793693960296
388.8207714,1609.899236327512
389.1966129,1607.9148261170856
389.5724205,1596.1649361295003
389.9481941,1592.854018408707
390.3239338,1591.0345909434443
390.6996394,1589.3798192726267
391.0753111,1593.1861959662278
391.4509488,1598.4835399882706
391.8265525,1599.313004213207
392.2021221,1599.143142747344
392.5776576,1602.7848824455482
392.9531591,1597.157363875191
393.3286265,1591.860698340623
393.7040598,1592.1911109767866
394.079459,1596.4945334759948
394.4548241,1595.9959810838357
394.830155,1603.4398688160252
395.2054517,1614.1970847968014
395.5807143,1618.6625264350896
395.9559427,1618.0020329897834
396.3311369,1617.010086182148
396.7062968,1612.3798440448936
397.0814225,1608.5746610519527
397.456514,1606.590974513329
397.8315712,1602.7816486813472
398.2065942,1607.0839195793346
398.5815828,1617.3398904293024
398.9565371,1617.3392359618101
399.3314571,1622.9621478943516
399.7063428,1621.9702537168637
400.0811941,1623.6256519561907
400.456011,1627.2625858037472
400.8307935,1629.743984987896
401.2055417,1626.269771204602
401.5802554,1637.5207062154277
401.9549347,1652.8969334764045
402.3295795,1686.7354872836756
402.7041899,1770.4692065316272
403.0787658,1948.6068921728004
403.4533073,2232.357611191714
403.8278142,2555.374076682966
404.2022866,2809.4844924011804
404.5767244,2919.3849761142274
404.9511277,2842.0386458211674
405.3254965,2584.045265434327
405.6998306,2264.6618896063433
406.0741302,2001.8141342211088
406.4483951,1855.0603014941557
406.8226255,1806.582144807303
407.1968212,1827.0138048002445
407.5709822,1852.2542662152455
407.9451085,1851.2631353638703
408.3192002,1820.5833454314084
408.6932572,1785.4567406014633
409.0672794,1746.8685183369064
409.4412669,1722.1246428693794
409.8152197,1707.7642903725837
410.1891377,1722.9501099786735
410.5630209,1723.283723868515
410.9368694,1718.1619893837487
411.310683,1718.6560354830895
411.6844618,1727.2388142829059
412.0582058,1710.0678443848974
412.4319149,1721.9506269896413
412.8055892,1730.869646947402
413.1792285,1731.2006046034971
413.552833,1717.6632492319764
413.9264026,1726.7452754592846
414.2999372,1717.0087573600501
414.6734369,1723.119029767438
415.0469016,1730.54151859056
415.4203314,1754.6416207757654
415.7937262,1761.7421074161966
416.1670859,1780.3862274759426
416.5404107,1777.4148779540583
416.9137004,1785.5053065255033
417.2869551,1779.235719026644
417.6601747,1780.224016666983
418.0333592,1763.5612915149381
418.4065087,1775.4436109684646
418.779623,1758.1125451416478
419.1527022,1765.3706691266482
419.5257463,1765.0423013990476
419.8987552,1782.6934728795422
420.2717289,1786.4850247185832
420.6446675,1814.52937585529
421.0175709,1811.5621323476587
421.390439,1812.7173905060263
421.763272,1811.2316375862092
422.1360696,1801.828697660244
422.5088321,1798.700814992997
422.8815592,1800.0192693911513
423.2542511,1813.8674651293577
423.6269076,1817.8232830065685
423.9995289,1835.3033397151398
424.3721148,1838.927046823445
424.7446653,1844.8623318179116
425.1171805,1834.4747417102062
425.4896604,1854.7291066286184
425.8621048,1865.5993213470535
426.2345138,1864.117288261956
426.6068874,1862.3042336144317
426.9792255,1884.2203348014314
427.3515282,1865.1202185611842
427.7237955,1861.6614685256745
428.0960272,1870.2281699732407
428.4682234,1868.7436753797203
428.8403842,1850.4533941030054
429.2125094,1852.757661189485
429.584599,1854.569007585645
429.9566531,1855.7206912715485
430.3286717,1881.080651267002
430.7006546,1902.0041520765865
431.0726019,1921.7630082719295
431.4445136,1916.0001302087044
431.8163897,1927.0269321842452
432.1882301,1933.1119426008274
432.5600349,1960.401171279071
432.931804,1998.8276997279727
433.3035374,2124.8574759974063
433.6752351,2472.7258946010493
434.046897,3326.5628676375954
434.4185232,5021.76636902079
434.7901137,7182.133277011737
435.1616684,8947.784175549874
435.5331873,9774.766178561382
435.9046704,9543.431421148432
436.2761177,8054.018372899942
436.6475291,5911.187150638281
437.0189047,4057.003839925668
437.3902445,2902.8643869168154
437.7615484,2294.3370303569495
438.1328164,2079.1828871625694
438.5040485,2038.508949756807
438.8752446,2032.1017293600783
439.2464048,2025.8577227660844
439.6175291,2015.5042426252908
439.9886174,2022.8966220291836
440.3596698,2018.7886532530115
440.7306861,2015.0093610569409
441.1016664,2025.0242870209327
441.4726107,2035.207528080555
441.843519,2034.2188071800697
442.2143912,2050.310672417686
442.5852273,2068.8690376813197
442.9560274,2073.1403701396976
443.3267913,2081.3561865541787
443.6975192,2091.20511586636
444.0682109,2099.4065886207245
444.4388664,2098.9119716969917
444.8094858,2099.735562089678
445.180069,2099.076875958758
445.550616,2096.456162524433
445.9211269,2091.3724694206517
446.2916015,2094.8218933054354
446.6620398,2100.06890331762
447.0324419,2106.7967001256116
447.4028078,2117.1336275779463
447.7731374,2132.0577833142524
448.1434306,2146.978784096422
448.5136876,2163.5398706996716
448.8839082,2166.824790384002
449.2540925,2166.332310718509
449.6242404,2162.7263374883505
449.994352,2178.121488516757
450.3644272,2173.530818156223
450.7344659,2188.7747812781604
451.1044683,2191.2354865953976
451.4744342,2190.90858195897
451.8443637,2174.202552037588
452.2142567,2164.694438247437
452.5841132,2164.5313116293387
452.9539333,2175.513090930022
453.3237168,2174.527892157613
453.6934638,2195.8155298619554
454.0631743,2209.9142709130874
454.4328483,2205.3251542280013
454.8024856,2209.090125350004
455.1720864,2216.959308923867
455.5416506,2200.9140159190465
455.9111781,2201.895001230654
456.2806691,2209.921964446291
456.6501234,2214.9999062888255
457.019541,2216.307450901504
457.388922,2224.6594165981273
457.7582663,2222.8578950821643
458.1275739,2226.7864901480225
458.4968447,2232.514679669007
458.8660788,2241.6855832544647
459.2352762,2230.5472907304143
459.6044368,2235.9528377942097
459.9735607,2237.920283470362
460.3426477,2230.3939526945474
460.711698,2225.1547831712874
461.0807114,2232.527149904698
461.449688,2231.0528363470276
461.8186277,2240.0515529585814
462.1875306,2240.7052393938543
462.5563965,2252.9855372653424
462.9252256,2266.4068133309365
463.2940178,2274.7593113878816
463.662773,2277.3758709070594
464.0314913,2284.2488243370904
464.4001726,2285.8858267074133
464.768817,2293.737265600784
465.1374244,2307.8059389499767
465.5059948,2294.7190823457126
465.8745281,2298.1549574438263
466.2430244,2301.099426633046
466.6114837,2288.9914378241792
466.9799059,2295.528729882776
467.348291,2320.718314197551
467.7166391,2338.545593839598
468.08495,2351.7865271226583
468.4532238,2382.1938580482997
468.8214604,2383.988171925676
469.18966,2394.1164832416025
469.5578223,2394.4430428807937
469.9259474,2398.6902779073143
470.2940354,2409.294601441001
470.6620861,2422.5275469392755
471.0300997,2439.8233411894785
471.3980759,2456.6414655719127
471.7660149,2469.3784287151493
472.1339167,2485.833633049879
472.5017811,2522.512301874811
472.8696083,2535.0639895791414
473.2373981,2550.5544323899167
473.6051506,2582.17526973912
473.9728657,2597.005794998967
474.3405435,2604.6579158713125
474.7081839,2618.3355100481276
475.0757869,2639.0226509880695
475.4433525,2645.5270936723055
475.8108806,2647.484170069338
476.1783714,2660.491762479246
476.5458246,2682.2890397740457
476.9132404,2712.204300318228
477.2806188,2743.4252621143146
477.6479596,2768.791886944483
478.0152629,2786.3414790446736
478.3825287,2804.8522156079275
478.7497569,2825.3025139883057
479.1169476,2846.2339828015483
479.4841007,2883.052231646926
479.8512162,2911.2719864990513
480.2182941,2941.911848294865
480.5853343,2961.6866046229584
480.952337,2967.3619990468324
481.319302,2990.8496087429776
481.6862293,3019.992708192126
482.0531189,3046.2174628399434
482.4199709,3079.3828234495486
482.7867851,3128.4154764213436
483.1535616,3143.61518217702
483.5203004,3154.4420523056547
483.8870014,3178.998054160509
484.2536647,3197.5673538234932
484.6202902,3211.777558903088
484.9868778,3229.54423433524
485.3534277,3260.063761583789
485.7199397,3267.0042259512898
486.0864138,3283.461329681959
486.4528502,3303.616049677957
486.8192486,3325.8811312469024
487.1856091,3351.988376363902
487.5519318,3367.463976795048
487.9182165,3377.1382748157585
488.2844633,3387.299547964032
488.6506721,3397.613923478789
489.0168429,3408.397710836868
489.3829758,3432.883568464542
489.7490707,3453.0137235573748
490.1151276,3485.843934804656
490.4811464,3530.4027301805277
490.8471272,3574.278320931073
491.21307,3598.8844872999216
491.5789747,3614.971406364702
491.9448413,3602.2646790074186
492.3106697,3582.655268683606
492.6764601,3530.7276729314235
493.0422124,3512.72288178521
493.4079264,3502.1084745655135
493.7736024,3511.117617910243
494.1392401,3501.4656994147554
494.5048397,3516.118768060759
494.8704011,3517.72703407096
495.2359242,3516.276134612176
495.6014091,3516.1121508140945
495.9668557,3526.5649932577753
496.3322641,3528.4935671646845
496.6976342,3531.548346107988
497.062966,3536.538499032885
497.4282595,3536.6989318405103
497.7935147,3546.0289770001855
498.1587315,3546.1899074050157
498.5239099,3543.937589584567
498.88905,3551.817185718146
499.2541517,3544.9038135190585
499.619215,3529.1438998464705
499.9842399,3529.145489991345
500.3492263,3519.651441940703
500.7141743,3493.4217806887755
501.0790839,3484.0875085379894
501.4439549,3488.7520536328416
501.8087875,3507.558671014247
502.1735816,3508.848550969976
502.5383371,3515.7703017606873
502.9030541,3535.5585030580314
503.2677326,3542.1537968688976
503.6323724,3533.6314787954225
503.9969737,3548.588190789772
504.3615364,3573.9941635854166
504.7260605,3580.582658089749
505.090546,3577.3663281905337
505.4549928,3584.7641085131745
505.8194009,3595.8577782233574
506.1837704,3598.920004315585
506.5481012,3598.2789377134777
506.9123933,3614.989737487259
507.2766467,3621.2489245835027
507.6408613,3628.468220282727
508.0050372,3625.5687069828255
508.3691743,3633.4404615728763
508.7332727,3637.9445031893074
509.0973322,3649.1774292235123
509.461353,3658.6557393126104
509.8253349,3690.131435154271
510.189278,3724.952591771884
510.5531822,3752.8747826659537
510.9170476,3764.914238342106
511.280874,3782.2468291909418
511.6446616,3795.222023503962
512.0084103,3791.5354364014593
512.37212,3788.0099924035044
512.7357908,3784.9664806378396
513.0994226,3790.8900328337195
513.4630155,3791.060080708064
